NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,MPT,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ALLSTAR,TEAM_STANDING
Serge Ibaka, TOR, C,30,50,27,27.5,6.5,12.5, .518,1.3,3.3,0.39799999999999996,5.1,9.1,0.562,0.5710000000000001,1.8,2.4,0.748,2.1,6.2,8.3,1.5,0.5,0.8,2.0,2.8,16.0,30,1377,18.0,0.593,0.266,0.191,8.2,23.3,15.9,8.8,0.8,2.9,12.9,24.1,1.5,2.4,3.9,0.136,0.5,-0.1,0.4,0.9,0,3
Andre Iguodala, MIA, SG,36,14,0,18.5,1.8,3.6, .490,0.6,1.7,0.375,1.1,1.9,0.593,0.578,0.1,0.6,0.25,0.7,3.1,3.8,2.0,0.6,1.1,1.2,2.0,4.4,36,259,11.0,0.5589999999999999,0.47100000000000003,0.157,4.5,17.9,11.5,15.1,1.5,6.1,23.8,12.2,0.0,0.4,0.4,0.078,-2.5,1.9,-0.7,0.1,0,8
Ersan İlyasova, MIL, PF,32,56,8,16.0,2.4,5.2, .472,0.8,2.2,0.371,1.6,3.0,0.5479999999999999,0.552,1.1,1.3,0.8270000000000001,1.1,3.9,4.9,0.8,0.4,0.3,0.6,1.6,6.8,32,895,15.2,0.591,0.428,0.259,7.1,22.5,15.2,7.0,1.2,1.4,9.3,16.4,1.5,1.9,3.4,0.18,-0.2,0.8,0.6,0.6,0,1
Joe Ingles, UTA, SF,32,64,37,29.9,3.4,7.7, .441,1.9,4.8,0.397,1.5,2.9,0.516,0.5660000000000001,1.0,1.3,0.774,0.4,3.6,4.0,5.2,0.9,0.1,1.9,2.1,9.8,32,1916,12.5,0.588,0.628,0.17,1.4,12.7,7.3,24.0,1.5,0.4,18.9,15.0,2.4,2.0,4.3,0.10800000000000001,0.0,0.7,0.7,1.3,0,7
Brandon Ingram, NOP, PF,22,56,56,34.3,8.4,18.0, .466,2.4,6.3,0.387,5.9,11.6,0.509,0.534,5.1,5.9,0.858,0.9,5.4,6.3,4.3,1.0,0.7,3.1,2.9,24.3,22,1919,19.2,0.59,0.35200000000000004,0.32799999999999996,2.7,16.6,9.6,19.8,1.3,1.6,13.1,28.2,3.2,1.7,4.9,0.122,2.7,-0.3,2.4,2.1,1,18
Kyrie Irving, BRK, PG,27,20,20,32.9,10.0,20.8, .478,2.8,7.1,0.39399999999999996,7.2,13.7,0.522,0.546,4.7,5.1,0.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4,27,658,26.3,0.595,0.341,0.245,3.5,12.4,8.1,37.4,1.9,1.3,10.1,32.6,2.1,0.8,3.0,0.21600000000000003,6.6,1.0,7.6,1.6,0,15
Jonathan Isaac, ORL, SF,22,32,32,29.7,4.7,10.1, .463,0.9,2.8,0.33,3.7,7.2,0.515,0.509,1.8,2.3,0.767,1.8,5.2,6.9,1.4,1.6,2.4,1.5,2.5,12.0,22,949,16.9,0.542,0.28300000000000003,0.22699999999999998,6.2,19.3,12.6,7.0,2.6,7.4,11.7,18.3,0.4,1.9,2.3,0.114,-0.8,2.9,2.0,1.0,0,16
Wesley Iwundu, ORL, SF,25,45,18,18.0,1.7,4.3, .397,0.5,1.5,0.313,1.2,2.8,0.441,0.451,1.4,1.7,0.816,0.5,2.0,2.5,1.0,0.6,0.2,0.4,1.4,5.3,25,810,9.9,0.521,0.345,0.392,2.9,12.4,7.5,7.9,1.5,1.2,7.3,13.1,0.6,0.8,1.4,0.08,-3.1,0.2,-2.9,-0.2,0,16
Frank Jackson, NOP, PG,21,51,1,12.9,1.9,5.0, .385,0.8,2.4,0.325,1.2,2.7,0.43799999999999994,0.461,0.9,1.3,0.75,0.4,1.0,1.4,0.8,0.3,0.1,0.8,1.3,5.6,21,656,7.7,0.5,0.467,0.249,3.0,8.4,5.7,8.6,1.1,0.5,13.1,20.4,-0.4,0.3,-0.1,-0.005,-4.0,-2.0,-6.0,-0.7,0,18
Jaren Jackson Jr., MEM, C,20,54,54,28.0,6.1,13.0, .468,2.5,6.3,0.397,3.6,6.7,0.535,0.564,2.3,3.1,0.741,1.0,3.7,4.7,1.4,0.7,1.6,1.7,4.1,16.9,20,1512,16.1,0.59,0.485,0.237,3.8,13.7,8.8,7.5,1.1,5.0,10.8,23.9,1.5,1.7,3.1,0.1,0.2,0.0,0.2,0.8,0,14
Josh Jackson, MEM, SG,22,18,0,19.8,3.8,8.6, .439,1.3,4.0,0.319,2.5,4.6,0.542,0.513,1.6,2.4,0.659,0.6,2.6,3.2,1.7,1.0,0.5,1.4,2.2,10.4,22,357,14.0,0.539,0.465,0.284,3.3,13.5,8.5,12.4,2.4,2.2,12.5,23.2,0.0,0.4,0.5,0.062,-1.1,1.2,0.0,0.2,0,14
Justin Jackson, DAL, PF,24,58,2,16.0,2.1,5.4, .399,0.8,2.6,0.298,1.4,2.8,0.494,0.47100000000000003,0.6,0.8,0.818,0.5,2.0,2.4,0.8,0.2,0.2,0.2,1.0,5.7,24,929,10.0,0.498,0.486,0.141,3.1,12.7,8.0,7.2,0.6,0.9,3.5,15.8,0.7,0.6,1.3,0.066,-1.7,-1.2,-2.9,-0.2,0,13
